,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
372,Jiazi,22.88,116.07,300.24,80,0,1.15,CN,1591916347
373,Ugoofaaru,5.67,73,301.94,75,100,5.72,MV,1591916537
374,Baruun-Urt,46.68,113.28,287.69,64,1,1.33,MN,1591916320
375,Warud,21.47,78.27,303.41,54,73,2.91,IN,1591916538
376,Province of Mantua,45.17,10.78,288.15,94,11,0.44,IT,1591916140
377,Nālūt,30.33,10.85,302.62,28,11,6.52,LY,1591916538
378,Mastic Beach,40.77,-72.85,293.15,88,90,3.6,US,1591916539
379,Port Keats,-14.25,129.55,296.9,59,63,4.41,AU,1591915967
380,Hambantota,6.12,81.12,300.44,82,96,7.48,LK,1591916539
381,Lubango,-14.92,13.49,284.43,36,0,0.6,AO,1591916526
382,La Ronge,55.1,-105.28,284.15,57,90,4.6,CA,1591915718
383,Paralímni,35.04,33.98,295.15,78,20,2.6,CY,1591916540
384,Coria,39.99,-6.54,285.37,69,0,0.45,ES,1591916541
385,Prince Rupert,54.32,-130.32,287.15,71,90,2.1,CA,1591916192
386,Mindelo,16.89,-24.98,298.15,83,20,8.7,CV,1591916541
387,Saint-Augustin,51.23,-58.65,281.91,58,100,10.26,CA,1591916151
388,Chesma,53.81,60.65,291.99,56,89,6.09,RU,1591916542
389,Orizari,41.92,22.45,285.37,93,64,1,MK,1591916543
390,Ozark,37.02,-93.21,302.04,41,0,1.17,US,1591916543
391,Hailey,43.52,-114.32,299.15,29,75,4.1,US,1591916543
392,Faya,18.39,42.45,296.15,37,77,1.56,SA,1591916178
393,Acarí,-15.43,-74.62,291.66,66,28,1.54,PE,1591916544
394,Sassandra,4.95,-6.08,298.39,88,100,2.69,CI,1591916544
395,Hay River,60.82,-115.8,285.15,71,75,4.1,CA,1591915993
396,Flin Flon,54.77,-101.86,282.15,70,90,1.5,CA,1591915961
397,Ampanihy,-24.7,44.75,291.5,62,0,4.1,MG,1591916144
398,Poum,-20.23,164.02,297.07,76,22,7.89,NC,1591915718
399,Tuatapere,-46.13,167.68,280.37,73,86,6.26,NZ,1591915984
400,Dwārka,22.24,68.97,302.73,78,56,5.04,IN,1591916531
401,Xingcheng,40.62,120.72,294.45,59,98,4.96,CN,1591916546
402,Orodara,10.95,-4.93,303.15,62,0,1,BF,1591916546
403,Kualakapuas,-3.01,114.39,296.4,94,44,1.14,ID,1591916546
404,Bulgan,48.81,103.53,279.88,65,38,2.6,MN,1591916547
405,Leh,34.17,77.58,281.54,53,5,2.59,IN,1591916170
406,Nikšić,42.77,18.94,290.15,93,30,1,ME,1591916285
407,Chara,56.91,118.26,287.99,46,28,1.89,RU,1591916320
408,Virginia Beach,36.85,-75.98,298.71,78,90,7.2,US,1591915698
409,Southbridge,42.08,-72.03,294.26,97,100,0.89,US,1591916548
410,Kuldīga,56.97,21.96,291.15,88,90,5.1,LV,1591916548
411,Erzurum Province,40,41.5,289.15,44,40,5.1,TR,1591916549
412,Whitecourt,54.15,-115.69,295.15,35,75,1,CA,1591916510
413,Nizhniy Kuranakh,58.84,125.49,287.38,62,47,2.22,RU,1591915712
414,La Asuncion,11.03,-63.86,304.15,55,99,8.2,VE,1591916550
415,Tamandaré,-8.76,-35.1,298.74,85,99,4.76,BR,1591916550
416,Tadine,-21.55,167.88,296.35,69,64,7.4,NC,1591916181
417,Tessalit,20.2,1.01,309.6,13,5,4.58,ML,1591915963
418,Río Gallegos,-51.62,-69.22,271.15,86,1,5.1,AR,1591916015
419,Tateyama,34.98,139.87,297.59,88,75,10.3,JP,1591916167
420,Dawei,14.08,98.2,298.65,84,90,0.59,MM,1591916551
421,Yangi Marg`ilon,40.43,71.72,292.15,45,98,2.1,UZ,1591916510
422,Porto-Novo,6.5,2.6,300.15,83,40,6.7,BJ,1591916171
423,Asău,46.43,26.4,288.71,84,97,1.18,RO,1591916164
424,Cabo Rojo,18.09,-67.15,300.93,78,100,0.45,PR,1591916553
425,Avera,33.19,-82.53,305.15,52,40,3.6,US,1591915961
426,Masallātah,32.62,14,294.79,76,56,4.48,LY,1591916553
427,Saint-Lô,49.12,-1.09,287.15,93,100,1,FR,1591916553
428,Yangambi,0.81,24.43,293.04,98,90,0.49,CD,1591916554
429,Melbu,68.5,14.83,280.37,79,100,3.58,NO,1591916554
430,Ostrovnoy,68.05,39.51,279.37,87,100,7.61,RU,1591916554
431,Viedma,-40.81,-63,288.4,66,100,7.31,AR,1591916555
432,Les Cayes,18.2,-73.75,300.57,74,100,2.06,HT,1591916555
433,Caravelas,-17.71,-39.25,296.02,91,1,1.94,BR,1591916138
434,Ambo,-10.13,-76.2,288.79,62,18,2.04,PE,1591916556
435,Comodoro Rivadavia,-45.87,-67.5,281.15,75,40,3.6,AR,1591916481
436,Ambunti,-4.24,142.84,299.62,86,47,0.33,PG,1591916556
437,Imbituba,-28.24,-48.67,292.15,100,40,1.5,BR,1591916499
438,Jalu,29.03,21.55,302.86,28,2,4.72,LY,1591916557
439,Boa Vista,2.82,-60.67,301.15,69,40,1,BR,1591916468
440,Lloydminster,53.28,-110,292.15,48,75,4.1,CA,1591916519
441,Presidente Médici,-11.18,-61.9,297.21,83,24,0.78,BR,1591916558
442,Christchurch,-43.53,172.63,283.15,70,100,6.2,NZ,1591916172
443,Chadiza,-14.07,32.44,286.81,74,49,0.75,ZM,1591916559
444,Morant Bay,17.88,-76.41,300.37,88,75,2.1,JM,1591916559
445,Abalak,58.13,68.59,288.49,91,94,2.62,RU,1591916560
446,Revda,56.8,59.93,285.15,100,4,1,RU,1591916560
447,Douala,4.05,9.7,298.15,100,75,2.1,CM,1591916560
448,Kaa-Khem,51.68,94.73,283.86,58,95,1.13,RU,1591916561
449,Ongandjera,-17.88,15.07,285.47,36,0,4.92,NA,1591916506
450,Tiznit Province,29.58,-9.5,288.32,76,14,1.98,MA,1591916525
451,Salalah,17.02,54.09,302.15,94,75,2.6,OM,1591915723
452,Kargasok,59.06,80.86,289.06,76,2,5.45,RU,1591916562
453,La Cruz,23.92,-106.9,303.15,63,44,3.58,MX,1591916562
454,Ubari,26.59,12.78,308.35,15,36,1.87,LY,1591916328
455,Caucasia,7.99,-75.19,299.81,82,1,1.92,CO,1591916563
456,La Providencia,28.72,-111.58,310.37,17,0,2.24,MX,1591916563
457,Karratha,-20.74,116.85,296.83,62,100,2.29,AU,1591916563
458,Kautokeino,69.01,23.04,278.51,77,80,0.42,NO,1591916542
459,Stranda,62.31,6.94,284.82,72,62,0.69,NO,1591916564
460,Aykhal,66,111.5,285.15,45,100,3,RU,1591916154
461,Lillesand,58.25,8.38,289.82,62,100,3.1,NO,1591916565
462,Breves,-1.68,-50.48,297.63,91,48,1.09,BR,1591916565
463,Sawtell,-30.38,153.1,291.15,72,75,6.2,AU,1591916565
464,Ngaoundéré,7.32,13.58,291.92,94,57,1.06,CM,1591916566
465,Oktyabr'skiy,54.48,53.47,288.33,92,16,1.63,RU,1591916566
466,Aquiraz,-3.9,-38.39,299.15,83,40,3.6,BR,1591916566
467,Perevoz,55.6,44.54,290.93,89,58,2.27,RU,1591916567
468,Ucluelet,48.93,-125.55,288.71,93,90,3.6,CA,1591916567
469,Atikokan,48.76,-91.62,286.83,46,49,5.15,CA,1591916555
470,Janów Lubelski,50.71,22.41,289.15,100,67,2.1,PL,1591916333
471,Waipawa,-41.41,175.52,287.59,71,100,0.89,NZ,1591915976
472,Cap Malheureux,-19.98,57.61,294.82,71,8,4.47,MU,1591916136
473,Kaduqli,11.02,29.72,297.57,63,97,0.8,SD,1591916569
474,Wallasey,53.42,-3.06,285.15,87,100,4.6,GB,1591916569
475,Cedar City,37.68,-113.06,304.15,5,1,8.2,US,1591916018
476,Greenville,35.61,-77.37,298.15,94,40,6.7,US,1591916351
477,Jerome,42.72,-114.52,304.26,11,1,4.1,US,1591916416
478,Guhāgar,17.48,73.19,299.96,83,100,1.39,IN,1591916570
479,Rodrigues Alves,-7.74,-72.65,299.26,59,75,0.59,BR,1591916156
480,Mangla,31.89,72.38,306.97,21,0,2.21,PK,1591916571
481,Zambezi,-13.54,23.1,286.11,51,24,1.03,ZM,1591916527
482,Anderson,34.53,-82.65,304.15,48,20,2.6,US,1591916571
483,Kharp,66.8,65.81,278.43,78,97,1.18,RU,1591916572
484,Havre-St-Pierre,50.23,-63.6,282.15,100,90,3.6,CA,1591916179
485,Challans,46.84,-1.87,286.15,100,78,2.6,FR,1591916572
486,Rawson,-43.3,-65.1,287.86,46,100,8.49,AR,1591916573
487,Sisimiut,66.94,-53.67,274.23,92,100,3.43,GL,1591916573
488,La Suiza,9.85,-83.61,294.15,77,75,6.2,CR,1591916573
489,Beipiao,41.79,120.78,296.24,42,68,3.78,CN,1591916573
490,Lancaster,40.25,-76.25,301.15,51,20,3.1,US,1591916062
491,Atambua,-9.11,124.89,296.13,85,76,2.12,ID,1591916505
492,Teterow,53.78,12.57,287.59,93,75,4.1,DE,1591916574
493,Coyhaique,-45.58,-72.07,277.15,100,75,0.36,CL,1591916575
494,Hervey Bay,-25.3,152.85,293.15,91,26,2.68,AU,1591916575
495,Lengshuitan,26.41,111.6,298.79,86,81,2.15,CN,1591915980
496,Pemba,-12.97,40.52,297.15,88,20,2.6,MZ,1591916577
497,Ewo,-0.87,14.82,296.78,85,83,0.71,CG,1591916577
498,Progreso,21.28,-89.67,303.71,74,75,3.1,MX,1591916568
499,Dubbo,-32.25,148.62,282.15,93,60,5.1,AU,1591916578
500,Pacific Grove,36.62,-121.92,297.04,53,1,3.6,US,1591916406
501,Srednekolymsk,67.45,153.68,290.56,52,100,3.55,RU,1591916164
502,San Luis,-33.3,-66.34,288,66,1,4.71,AR,1591916454
503,Bang Saphan,11.21,99.51,298.07,87,96,1.59,TH,1591916579
504,Emba,48.83,58.14,296.68,32,66,0.25,KZ,1591916579
505,Qandala,11.47,49.87,306.17,52,0,4.38,SO,1591916580
506,Manggar,-2.88,108.27,300.73,80,0,5.6,ID,1591916167
507,Lakselv,70.05,24.97,280.15,70,83,10.8,NO,1591916580
508,Arua,3.02,30.91,289.97,95,100,2.88,UG,1591916580
509,Mandalgovi,45.76,106.27,281.82,74,27,5.79,MN,1591916170
510,Ayan,56.45,138.17,280.36,81,47,1.75,RU,1591916581
511,Kruisfontein,-34,24.73,283.47,78,100,8.17,ZA,1591916328
512,Teacapan,22.55,-105.75,301.33,71,38,5.88,MX,1591916581
513,Mezen',65.85,44.24,277.73,72,58,4.91,RU,1591916582
514,Ratnapura,6.68,80.4,297.71,87,100,0.93,LK,1591916582
515,Jumla,29.27,82.18,286.37,68,49,0.93,NP,1591916582
516,Synya,65.37,58.04,277.63,71,14,1.01,RU,1591916583
517,Birjand,32.87,59.22,293.15,16,0,6.2,IR,1591916583
518,Whitewater,42.83,-88.73,295.93,49,90,4.1,US,1591916583
519,Umluj,25.02,37.27,301.29,49,0,4,SA,1591916176
520,Bonfim,3.08,-59.95,298.4,86,58,1.05,BR,1591916165
521,Kailua,21.4,-157.74,302.15,54,40,7.2,US,1591916584
522,Rocha,-34.48,-54.33,286.87,96,64,3.29,UY,1591915707
523,Duluth,46.78,-92.11,294.15,43,75,7.7,US,1591916585
524,Yenagoa,4.92,6.26,296.76,96,91,2.3,NG,1591916585
525,Borogontsy,62.67,131.17,288.26,67,79,1.58,RU,1591916585
526,Paita,-5.09,-81.11,292.9,76,0,8.56,PE,1591916586
527,Acapulco de Juárez,16.86,-99.89,303.15,74,40,5.1,MX,1591916586
528,Guatire,10.48,-66.54,296.48,87,78,0.93,VE,1591916586
529,Zhigalovo,54.81,105.16,282.9,89,100,3.15,RU,1591916586
530,Lukovetskiy,64.3,41.92,279.15,87,20,2,RU,1591916324
531,Riberalta,-10.98,-66.1,300.06,62,49,1.18,BO,1591916587
532,Ust-Nera,64.57,143.2,284.74,54,100,2.17,RU,1591915989
533,Vanavara,60.34,102.28,282.3,74,1,4.9,RU,1591916588
534,Den Helder,52.96,4.76,289.26,93,90,6.2,NL,1591916157
535,Zhangjiakou,40.81,114.88,290.07,69,78,1.13,CN,1591916589
536,Pittsburg,38.03,-121.88,304.26,37,96,2.24,US,1591916589
537,Yeppoon,-23.13,150.73,293.15,77,75,3.6,AU,1591916589
538,Curvelo,-18.76,-44.43,294.31,54,0,1.32,BR,1591916590
539,Koumra,8.91,17.55,297.99,72,23,2.7,TD,1591916590
540,Santa Isabel Rio Negro,-0.41,-65.02,297.11,95,64,2.08,BR,1591916580
541,Mabaruma,8.2,-59.78,298.14,87,99,1.39,GY,1591916164
542,Rørvik,64.86,11.24,282.36,84,0,6.07,NO,1591916585
543,Savelugu,9.62,-0.83,300.63,70,25,3.12,GH,1591916591
544,Englehart,47.82,-79.87,287.15,47,75,14.4,CA,1591916592
545,Lakhdenpokh'ya,61.52,30.2,285.93,67,3,3.64,RU,1591916592
546,Taku,39.02,117.65,295.15,68,100,2,CN,1591916592
547,Chicama,-7.84,-79.15,292.92,72,10,3.68,PE,1591916182
548,Carutapera,-1.2,-46.02,297.74,92,100,2.33,BR,1591916593
549,Alikovo,55.74,46.75,293.15,88,40,4,RU,1591916594
550,Port Macquarie,-31.43,152.92,287.59,93,90,2.6,AU,1591916522
551,Vanimo,-2.67,141.3,301.48,70,29,2.73,PG,1591916470
552,Shimoda,34.67,138.95,294.26,94,94,0.45,JP,1591916321
553,Muroto-misakicho,33.28,134.15,297.15,94,75,2.6,JP,1591916595
554,Tura,25.52,90.22,296.37,94,52,2.16,IN,1591916595
555,Nyurba,63.28,118.33,286.23,66,57,3.25,RU,1591916573
556,Dingle,11,122.67,299.29,81,100,2.77,PH,1591916191
557,Buchanan,5.88,-10.05,298.94,86,100,2.55,LR,1591916596
558,Farafangana,-22.82,47.83,293.51,85,46,4.74,MG,1591916596
559,Fuling,29.7,107.39,298.53,83,27,0.28,CN,1591916315
560,Yuncheng,35.02,110.99,297.57,68,81,0.19,CN,1591916596
561,Loviisa,60.46,26.23,283.15,95,2,2.95,FI,1591916597
562,Kismayo,-0.36,42.55,299.29,77,100,6.53,SO,1591916597
563,Daru,-9.08,143.21,299.83,88,66,6.45,PG,1591916165
564,Vizinga,61.07,50.1,282.32,73,82,3.19,RU,1591916598
565,Corinth,37.94,22.96,295.15,46,20,4.75,GR,1591916598
566,Vilcún,-38.65,-72.23,284.15,76,75,5.1,CL,1591916598
567,Dombegyház,46.33,21.13,290.37,100,100,3.1,HU,1591916598
568,Artyom,40.47,50.33,295.15,64,24,2.19,AZ,1591916599
569,Uitenhage,-33.76,25.4,282.15,81,75,10.8,ZA,1591916599
570,Lumsden,50.65,-104.87,297.15,29,20,6.2,CA,1591916599
571,Henties Bay,-22.12,14.28,285.93,78,0,0.89,NA,1591916145
572,Filingué,14.35,3.32,307.17,32,70,6.14,NE,1591916600
573,Thinadhoo,0.53,72.93,302.15,73,100,4.34,MV,1591916600
574,Neuquén,-38.95,-68.06,289.15,38,89,5.7,AR,1591916182
575,Sabang,5.89,95.32,301.96,75,88,3.93,ID,1591916601
576,Namatanai,-3.67,152.43,301.47,74,92,1.82,PG,1591916601
577,Wanning,18.8,110.4,300.68,84,28,3.54,CN,1591916184
578,Sines Municipality,37.96,-8.87,288.71,85,46,1.79,PT,1591916602
579,Mersing,2.43,103.84,298.15,100,78,3.1,MY,1591916462
